ID,Окружение,Серьезность,Приоритет,Заголовок,Предусловия,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложения,Тестировщик
T-1,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).",Trivial,Low,Отображается 404 ошибка при переходе по URL: https://www.vmedia.ca/content/images/global/favicon/vmedia.webmanifest?v4,"1. Открыт сайт https://www.vmedia.ca/en;
 2. Открыт Chrome DevTools.",1. Перейти на вкладку Network;,Для данного ендпоинта должен быть статус кода 200,Отображается статус 404 для данного ендпоинта ,https://drive.google.com/drive/folders/1ooJ2aPqpSmjeKza5_fFMtFEwcymPiWeD?usp=sharing,
,,,,,,2. Обратить внимание на эндпоинт vmedia.webmanifest?v4.,,,,
T-2,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).",Major,High,Ошибка 404 при нажатии на кнопку Forum,1. Сайт https://www.vmedia.ca/en.,1. Открыть главную страницу сайта;,Открывается страница с форумом сайта,Открывается страница с ошибкой 404,https://drive.google.com/drive/folders/1VANNj5oZdd3H6qFNPGxEDG7ABgb5TCRV?usp=sharing,
,,,,,,2. Пролистать вниз страницы;,,,,
,,,,,,3. Нажать на кнопку Forum.,,,,
T-3,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Minor,Medium,Action menu - > Quick Feature Guide: Текст и элементы страницы расположены ниже на 7 см при развертывании окна на весь экран ,1. Сайт https://www.vmedia.ca/en.,1. Открыть главную страницу сайта;,"Страница отображается в соответсвии 
с технической документацией, 
элементы расположенны в установленных
местах","После развертывания окна на весь экран текст 
и элементы страницы съезжают вниз и находятся 
ниже на 7 см от назначенного положения. ",https://drive.google.com/drive/folders/1V0r8TKPw4wjCTa84Nzwr2t3gQqVmid9t?usp=sharing,
,,,,,,"2. Свернуть окно до того состояния 
при котором активируется Action menu;",,,,
,,,,,,3. Нажать на шеврон стрелку напротив кнопки Phone в появивщемся меню;,,,,
,,,,,,4. Выбрать Quick Feature Guide в выпадающем списке;,,,,
,,,,,,5. Развернуть окно на весь экран.,,,,
