ID,Окружение,Серьезность,Приоритет,Заголовок,Предусловия,Шаги воспроизведения,Ожидаемый результат,Фактический результат,Вложения,Комментарии,Тестировщик
T-1,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).",Trivial,High,"Грамматическая ошибка в кнопке ""Забронировать"".",1. Открыт сайт: https://internship-intabia.surge.sh/. ,"1. Посмотреть на кнопку ""Забронировать"".",1. В написании текста нет грамматических ошибок.,"1. Текст указан с ошибкой, отображается слово ""Забронитровать"".",https://drive.google.com/file/d/1PWPbZej9B6ywla7hFN8WzE2Pb3Fr8P18/view?usp=sharing,,
T-2,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Trivial,High,"Окно ""Места успешно забронированы!"" отображается, если не добавлять места в ""Список выбранных мест"".",,"1. Нажать на кнопку ""Забронировать"".","1. В окне в тексте указано: ""Место 1 ряд 1 успешно забронировано!"".","1. В окне в тексте указано: ""Места 1 ряд 1 успешно забронированы!"".",,Ошибка в тексте отображается при выборе любого места. ,
T-3,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).",Major,Medium,"Не работает кнопка удаления 
в ""Список выбранных мест"".",Навести курсор на иконку места 1 ряд 1 ,1. Нажать на иконку.,"1. Место добавляется в ""Список выбранных мест"", отображается итоговая стоимость ""300 Р"";","1. Место дабавляется в ""Список выбранных мест"", отображается итоговая стоимость ""300 Р"";",,"Баг повторяется с любым выбранным местом. Удалить билет можно при помощи кнопки ""Отменить"", но если в списке находится больше 1 билета, то они удалятся тоже. Также удалить можно при помощи нажатия на выбранное ранее место.",
,,,,,,2. Навести курсор мыши на иконку удаления (мусорное ведро);,2. Кнопка подсвечивается;,2. Кнопка подсвечивается;,,,
,,,,,,3. Нажать на кнопку.,"3. Срабатывает анимация нажатия на кнопку, выбранный билет удаляется из списка.","3. Срабатывает анимация нажатия на кнопку, но выбранный билет остается в списке.",,,
T-4,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Major,High,"После бронирования места отображаются, как свободные.","1. Добавлено место 1 ряд 1 
в ""Список выбранных мест"".","1. Нажать кнопку ""Забронировать"";",1. Отображается окно с информацией о забронированных местах;,1. Отображается окно с информацией о забронированных местах;,,"Баг повторяется при любом колличестве забронированных мест, которые подсвечивается в зависимости от ценовой политики. (пурпурным или синим)",
,,,,,,"2. Нажать на кнопку ""ок"".","2. Отображается главный экран бронирования билетов, забронированное место подсвечиваются серым цветом и отмечено как ""Бронь"".","2. Отображается главный экран бронирования билетов, ранее выбранное место подсвечивается пурпурным цветом и доступно для бронирования.",,,
T-5,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Сritical,High,"""Список выбранных мест"" перекрывает кнопку ""Забронировать"" при добавлении в него 5 и более мест.","1. Добавлены места с 1 по 5 ряд 1 в ""Список выбранных мест"".","1. Навести курсор мыши на кнопку ""Забронировать"";",1. Кнопка подсвечивается.,1. Кнопка не подсвечивается.,,Баг повторяется при добавлении любых 5 и более мест.,
,,,,,,"2. Нажать на кнопку ""Забронировать"".",2. Отображается окно с информацией о забронированных местах.,"2. На кнопку невозможно нажать, так как ее перекрывает ""Список выбранных мест"".",,,
T-6,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Major,High,"Некорректный подсчет конечной суммы при добавлении в ""Список выбранных мест"" двух категорий мест.","1. Добавлено место 1 ряд 1 
в ""Список выбранных мест"".","1. Добавить место 1 ряд 4
в ""Список выбранных мест"".","1. Место добавляется в ""Список выбранных мест"", отображается итоговая стоимость двух мест 
""700 Р"".","1. Место добавляется в ""Список выбранных мест"", отображается итоговая стоимость двух мест 
""600 Р"".",,"Баг срабатывает при любой комбинации двух категорий мест. (например: если добавить 1 и более место из категории 
300 Р и 1 и более место из категории 400 Р)",
T-7,Система: Apple iPhone 15 Pro.,Major,High,Отсутствует адаптация мобильной версии сайта.,,1. Открыть на мобильном устройстве сайт: https://internship-intabia.surge.sh/,"1. Версия сайта корректно отображается, адаптируясь под мобильное устройство.","1. Отображается десктопная версия сайта, не адаптируется под мобильное устройство.",,,
T-8,"Система:Windows 11 64-bit; 
Google Chrome версия 122.0.6261.131 
(Официальная сборка).
Монитор 17.3 дюйма.",Trivial,Medium,"Грамматическая ошибка в окне 
""Места успешно забронированы!"".","1. Добавлено место 1 ряд 1 
в ""Список выбранных мест"".","1. Нажать на кнопку ""Забронировать"".","1. В окне в тексте указано: 
""Место 1 ряд 1 успешно забронировано!"".","1. В окне в тексте указано: 
""Места 1 ряд 1 успешно забронированы!"".",,Ошибка в тексте отображается при выборе любого места. ,
