ID,Module,Summary,Preconditions,Test data,Steps,Expected Result
T-1,Connection,Подключение пользователя к чату сервера,1. Подключение к TCP Chat Client ,1. Порт - 245,"1. Ввести значение из тестовых данных в поле ""Port"" TCP Chat Client;
2. Нажать на кнопку ""Connect"".",Пользователь  успешно подключен к TCP Chat Client.
T-2,Connection,Отображение технических действий пользователя,"1. Пользователь  Tom Morello с IP адресом 127.9.12.22 подключен к TCP Chat Client;
2. Порт TCP Chat Client и TCP Chat Server = 245;
3. TCP Chat Server находится в статусе ""Listen"".","1.  Никнейм - Tom Morello
2. IP - 127.9.12.22 ","1. Ввести   значение из тестовых данных в поле ""Никнейм""  TCP Chat Client;
2. Ввести действительное значение из тестовых данных 
в поле ""IP""  TCP
Chat Client;
3. Нажать кнопку ""Connect"".","Система выводит сообщение о подключении с временной меткой в формате   ""[чч:мм:сс]"".
Пользователь подключен к серверу ""127.0.0.1:245.."", о чем система сообщает в 
текстовом поле TCP Chat Client."
T-3,Messages,Отправка сообщения,1. Пользователь  Tom Morello с IP адресом 127.9.12.22 подключен к TCP Chat Client.,"1. Поле ввода ""Say something""
2. Текст - ""Hi"".","1. Ввести   значение из тестовых данных в поле ""Say something"";
2.Нажать кнопку ""Send"".","Значение вводится в поле ""Say something"" и корректно отображается.
Значение в поле пропадает после нажатия на кнопку, что свидетельствует об отправке сообщения."
T-4,Messages,Отображение отправленных сообщений,"1. Пользователь  Tom Morello с IP адресом 127.9.12.22 подключен к TCP Chat Client;
2. Отправлено сообщение ""Hi"", пользователем Tom Morello.",1. Текстовое поле отображения сообщений TCP Chat Client.,1. Проверить текстовое поле отображения сообщений.,"Отправленное сообщение корректно отображается с соответствующей меткой времени и именем отправителя в текстовом поле TCP Chat Client: ""[чч:мм:сс] <Tom Morello>: Hi""."
T-5,Messages,Отображение отправленных сообщений у других пользователей,1. Пользователь  James Hetfield с IP адресом 127.10.12.15 подключен к TCP Chat Client.,"1. Порт - 245
2. Никнейм - James Hetfield
3. IP - 127.10.12.15  ","1. Подключиться к серверу, используя значения из тестовых данных;
2. Открыть чат ","Пользователь успешно подключился к серверу
и видит введенное сообщение с соответствующей меткой времени и именем отправителя в текстовом поле TCP Chat Client: ""[чч:мм:сс] <Tom Morello>: Hi""."
T-6,Connection,Включение сервера,"1. TCP Chat Server выключен, так как на кнопке отображается надпись  ""Stop"".
","1. Порт - 245
2. Кнопка ""Stop""","1. Ввести значение из тестовых данных в поле ""Port"" TCP Chat Server;
2. Нажать на кнопку ""Stop"".
","Администратор включает сервер, на кнопке отображается надпись ""Listen""."
T-7,Messages,Отображение сообщений у администратора сервера ,"1. TCP Chat Server включен;
2. Пользователь  Tom Morello с IP адресом 127.9.12.22 подключен к TCP Chat Client.",1. Текстовое поле отображения сообщений TCP Chat Server.,1. Проверить текстовое поле отображения сообщений TCP Chat Server.,"Действия на сервере отображаются в текстовом поле отображения сообщений TCP Chat Server с соответствующей меткой времени и именем пользователя совершившего действие в формате: ""[чч:мм:сс] Tom Morello (127.9.12.22 ) is trying to connect…""
Также сервер демонстрирует информацию после каждого технического действия пользователя в формате: ""[чч:мм:сс] <SERVER> Tom Morello entered chat."
T-8,Connection,Отображение пользователей,"1. TCP Chat Server включен;
2. Пользователь  Tom Morello с IP адресом 127.9.12.22 подключен к TCP Chat Client;
3.  Пользователь  James Hetfield с IP адресом 127.10.12.15 подключен к TCP Chat Client.
","1. Листбокс ""Online Users"".","1. Проверить листбокс ""Online Users"".","Отображаются подключенные к серверу пользователи, демонстрируются в виде никнеймов  по порядку, начиная, с последнего подключившегося пользователя:  James Hetfield, Tom Morello."
T-9,Connection,Выключение сервера,"1. TCP Chat Server включен.
","1. Кнопка ""Listen""","1. Нажать на кнопку ""Listen"".
","Администратор выключает сервер, на кнопке отображается надпись ""Stop""."
T-10,Connection,Подключение с разными портами,1. Подключение к TCP Chat Client ,1. Порт - 244,"1. Ввести значение из тестовых данных в поле ""Port"" TCP Chat Client;
2. Нажать на кнопку ""Connect"".",Пользователь  не подключен к TCP Chat Client.
